Country,Latitude,Longitude,Battle,Year,Winner,Loser,War_homogenized,Participants_homogenized
Russia,44.1952388,47.9496213,Alexandrovsk,1919,United Kingdom,Russian Bolsheviks,Russian Civil War,['Russia']
Serbia,43.5526413,21.6785139,Alexinatz,1876,Ottoman Empire,Serbia,Serbo-Turkish War,"['Serbia', ' Turkey', 'Belgium', 'Russia']"
Portugal,39.325794,-8.8613696,Alfarrobeira,1986,Aflonso V,Duke of Coimbra,Portuguese War,['Iran']
Iraq,30.0925375,47.9505417,Al Faw,1986,Iran,Iraq,Iran-Iraq War,"['Malta', 'Iran', 'Iraq']"
Iraq,30.0925375,47.9505417,Al Faw,1988,Iraq,Iran,Iran-Iraq War,['Iran']
Spain,36.0445463,-5.3867937,Algeciras Bay,1801,United Kingdom,"France, Spain",French Revolutionary Wars 2nd Coaltion,"['France', 'Eritrea', ' France', 'Spain']"
Algeria,36.7389364,2.9992461,Algiers,1816,"United Kingdom, Netherlands",Algiers,Corsair Wars,"['South Africa', 'Bhutan', 'Algeria', 'Spain', ' Italy']"
Algeria,36.7389364,2.9992461,Algiers,1824,United Kingdom,Algiers,Corsair Wars,"['Eritrea', 'Mariana Islands', 'Algeria', 'Kiribati']"
Algeria,36.7389364,2.9992461,Algiers,1830,France,Algiers,French Conquest of Algeria,"['France', 'Algeria', ' France', 'Myanmar']"
Algeria,36.7389364,2.9992461,Algiers,1942,"United Kingdom, United States",Vichy France,World War II,"['South Africa', ' France', 'Algeria', 'Latvia', 'Iran', 'Ukraine', 'Georgia', 'Tunisia']"
Algeria,36.7389364,2.9992461,Algiers,1956,France,FLN,Algerian War,"['Algeria', 'Yemen']"
Morocco,35.2445589,-3.9317468,Alhucemas,1925,Spain,Rif Rebels,Spanish Rif War,"['Morocco', 'Spain', 'Mexico', 'Iran', ' India', ' France']"
Spain,38.3459963,-0.4906855,Alicante,1812,Spain,France,Napoleonic War,"['Slovenia', ' France', 'Albania']"
India,27.8973944,78.0880129,Aligarh,1803,United Kingdom,Marathas,2nd Anglo-Maratha War,"['Eritrea', ' Honduras', 'Czechia', ' France']"
India,27.8973944,78.0880129,Aligarh,1857,United Kingdom,Indian Mutineers,Indian Mutiny,"['India', 'Czechia', 'Myanmar', 'Eritrea']"
Paraguay,-16.5223722,-68.1939538,Alihuata,1933,Paraguay,Bolivia,Chaco War,['Bolivia']
Afghanistan,33.9418913,69.6879744,Ali Kheyl,1984,"USSR, Afghanistan",Mujahideen,Afghan War,"['Iran', 'Chad', 'Brazil', 'Latvia', 'Pakistan']"
Pakistan,34.0332698,71.254813,Ali Masjid,1839,"United Kingdom, Shah Shuja",Afghanistan,Afghan War,"['Russia', 'Myanmar', 'Ghana', 'Sudan', 'Brazil']"
Pakistan,34.0332698,71.254813,Ali Masjid,1842,Afghanistan,United Kingdom,Afghan War,"['Eritrea', 'Brazil', 'Guatemala']"
Pakistan,34.0332698,71.254813,Ali Masjid,1878,United Kingdom,Afghanistan,Afghan War,"['Bhutan', 'Russia', 'Afghanistan', 'Brazil']"
India,30.9449179,75.610665,Aliwal,1846,United Kingdom,Punjab,British Sikh War,"['Eritrea', ' Turkey', 'Taiwan', 'Congo']"
Nigeria,9.2659561,12.4566878,Alkalawa,1806,Fulani,Kingdom of Gobir,Rise of Sokoto,"['Oman', 'United Kingdom']"
Libya,24.1325679,23.2598362,Al Khufrah,1931,Italy,Senussi Rebels,Italo-Senussi War,"['Italy', 'Benin', ' Italy', 'Libya']"
United States,34.1331022,-84.7252938,Allatoona,1864,Confederate States of America,United States of America,American Civil War,"['Albania', 'Georgia', ' France']"
South Africa,-28.1090514,27.5692231,Allemans Nek,1900,United Kingdom,Transvaal,Boer War,['Iran']
Ukraine,44.8264986,33.9378346,Alma,1854,"United Kingdom, France",Russia,Crimean War,"['Congo', 'Eritrea']"
Spain,38.7744644,-4.8326215,Almaden,1810,France,Spain,Napoleonic War,"['Yemen', 'Mali', ' Indonesia', 'Spain']"
Spain,39.814327,-5.6752957,Almaraz,1812,"United Kingdom, Portugal",France,Napoleonic War,"['Lebanon', 'Congo', ' France']"
